UID,Prompt
c7a774a1-5500-488b-a1ba-8a22063b245f,"Photo of a crowded middle school hallway packed with students moving in both directions, shoulder to shoulder, creating a sense of congestion and chaos. The hallway has white cinderblock walls, fluorescent ceiling lights, and a row of blue lockers lining the right side. Most of the students are wearing backpacks, with some dressed in casual T-shirts while others wear masks, indicating a post-pandemic setting. A few students are holding phones, and one phone in the foreground clearly shows a brightly lit screen."
88cfbbde-3f91-41e2-90a1-017b9ecee0d9,"A historical photograph showing a lone man standing in front of a column of military tanks on a wide city street. The man, dressed in a white shirt and dark trousers, holds shopping bags in each hand and stands directly in the path of the lead tank, blocking its advance. The tanks, painted in green camouflage with red insignias, are lined up one behind the other, their large cannons pointing forward."
5417bcb1-780d-4c25-9400-05fd961ddbe5,"The Eiffel Tower, but heavily distorted in a surreal way. Instead of standing upright, the tower appears bent and leaning dramatically to the right, as if its middle section has been twisted or melted. The base structure still sits firmly on the ground, with the grassy park and trees around it intact, but the warped upper half gives it an impossible, dreamlike quality. The sky above is clear blue, contrasting with the dark iron structure, making the unnatural bend even more striking."
ec96014f-2261-4484-827d-22d16a349008,"Image of a hand holding a brown leather wallet with a heartfelt engraved message on one of its inside panels. The engraving reads: 'To My Son Wherever your journey in life may take you I pray that you will always be safe. Enjoy the ride and never forget your way back home. I can’t promise to be here for the rest of your life but I can promise to love you for the rest of mine. Love you. Dad'. The message is written in a decorative, cursive-style"
78bad47c-3100-42e8-8f7a-8af8283f175f,"A landscape filled with dozens of colorful hot air balloons floating in the sky at sunrise. The terrain below is rugged, with unique rock formations, valleys, and plateaus, typical of the famous region of Cappadocia in Turkey. The balloons come in a variety of bright colors and patterns, creating a magical and dreamy atmosphere against the soft golden light."
351d414f-026e-4a55-a991-101896eacc72,"A triptych of New York City at dawn, noon and sunset. The skyline is filled with tall skyscrapers, with the iconic Empire State Building prominently visible among them. In the distance, you can see the outline of more buildings stretching toward the horizon, with rivers framing parts of the city."
aa04e6ed-a43a-479c-a2a3-74ca255004fa,"Promotional photo of a sleek, modern blue Toyota Corolla driving through a city street bathed in warm sunlight. The car is in motion, with a slight blur in the background emphasizing its speed. The design features sharp, aerodynamic lines, a bold front grille, and stylish headlights, giving it a sporty yet refined appearance. Reflections of the surrounding buildings and trees can be seen on the car’s glossy surface. A pedestrian with a bag is blurred in the background, walking along the sidewalk."
80a63809-86f6-449f-844d-d6e5df161211,"Photo a moody nighttime urban street scene, steam billows dramatically from a vent in the sidewalk, illuminated by the glow of streetlights and car headlights, creating a cinematic effect. A man in a dark coat stands in silhouette on the sidewalk, looking at his phone. The puddle on the pavement reflects the city lights, adding to the atmospheric feel. In the background, tall office buildings with glowing windows loom over the street, and vehicles including a bus and a taxi are visible amidst the haze. The overall mood is dark, atmospheric, and almost noir-like."
ad69785c-eccc-4d47-92b6-0cd3c0e83a82,"The image shows a woman performing a challenging yoga pose on a purple mat in a bright, spacious room. She is in a seated variation of a backbend leg stretch, resembling a hybrid between Mermaid Pose and Compass Pose (Parivrtta Surya Yantrasana). She sits on the floor with one leg bent beneath her and the other leg extended upward. Her right leg is lifted straight up, with her right foot pointing toward the ceiling. Her right arm reaches behind her head to grasp the lifted foot, pulling it closer, creating a deep stretch along her side body and spine. Her left arm reaches back to hold her left foot (which is bent on the floor), giving additional stability and creating an elegant curve in her torso. Her chest is open, shoulders rolled back, and she maintains an upright spine with a soft smile."
54abe5d6-5d40-4558-9f09-9c1a12b4bf84,"Photo of a Instax print of Michael Jackson wearing a black fedora hat, a sequined black jacket over a white T-shirt, black pants, white socks, and black shoes. He also has on a sparkling white glove on one hand. He is leaning forward with one hand placed near his waist and the other extended dramatically behind him, glowing slightly under the stage lights. The background features tall, illuminated blue panels resembling windows, creating a striking, theatrical atmosphere."
